ID	Completeness (%)	Contamination (%)	Genome_size	GC_content	Group	GTDB_classification	Min_contig_length	Max_contig_length	Mean_contig_length	Median_contig_length	N50	Num_contig	tRNA	5S_ribosomal_RNA	16S_ribosomal_RNA	23S_ribosomal_RNA	5S+16S+23S	NCBI_classification
AAB-S01R1_115	65.12	2.97	3293122	62.48	Partial	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Opitutaceae;Tous-C4FEB	1017	13627	2755	2367	3052	1195	21	0	0	0	0	Bacteria;Verrucomicrobia;Opitutae
AAB-S01R1_122	89.89	2.37	4114909	60.84	Medium quality	Bacteria;Armatimonadota;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae	1503	77386	9987	5961	16740	412	44	1	2	2	1	Bacteria;Armatimonadetes
AAB-S01R1_127	92.61	3.33	4166220	44.09	Near complete	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;UBA8621	1007	42086	4479	2919	6488	930	13	0	0	0	0	Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae
AAB-S01R1_14	77.85	5.16	4469163	66.95	Medium quality	Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae	1001	15266	2641	2095	3144	1692	8	0	0	0	0	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales
AAB-S01R1_155	91.88	4.27	6203391	54.65	Near complete	Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;UBA11740	2009	56719	10356	7185	15472	599	26	1	1	0	0	Bacteria;Acidobacteria;Blastocatellia
AAB-S01R1_156	73.33	2.56	3646023	56.49	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Koribacteraceae	1002	14411	2500	1988	2868	1458	12	0	0	0	0	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales
AAB-S01R1_171	67.17	2.88	2538810	68.63	Partial	Bacteria;Actinobacteriota;Actinomycetia;Mycobacteriales;Jatrophihabitantaceae;QHCC01	2003	26649	4446	3642	4814	571	13	0	1	0	0	Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales
AAB-S01R1_173	70.17	0	7427581	57.01	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Koribacteraceae;Sulfotelmatobacter	2119	90125	12097	8678	16010	614	15	0	0	1	0	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae
AAB-S01R1_175	88.66	2.3	5837396	61.35	Medium quality	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;PALSA-1355	1012	25880	5445	4254	6704	1072	33	0	1	1	0	Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae
AAB-S01R1_179	71.37	3.55	2010066	39.29	Medium quality	Bacteria;Verrucomicrobiota_A;Chlamydiia;Parachlamydiales;Parachlamydiaceae	1001	7043	2078	1753	2350	967	3	0	0	0	0	Bacteria;Chlamydiae;Chlamydiia;Parachlamydiales;Parachlamydiaceae
AAB-S01R1_181	81.84	3.71	3794609	64.04	Medium quality	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Lichenihabitans	1005	23321	3188	2460	3874	1190	17	0	0	0	0	Bacteria
AAB-S01R1_183	69.13	1.71	3608981	72.91	Partial	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae	1008	28276	4059	2803	5533	889	22	1	0	0	0	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales
AAB-S01R1_185	93.27	6.15	7130510	58.23	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Koribacteraceae	1000	62415	3839	1689	8158	1857	23	0	0	0	0	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales
AAB-S01R1_188	70.87	3.03	2149166	66.06	Medium quality	Bacteria;Actinobacteriota;Actinomycetia;Acidothermales;Acidothermaceae;PALSA-607	1003	16587	2920	2117	3402	736	11	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria
AAB-S01R1_19	72.12	3.68	1789271	39.58	Medium quality	Bacteria;Proteobacteria;Gammaproteobacteria;DSM-16500;DSM-16500;SCGC-AG-212-F23	1034	12501	4122	3691	4988	434	14	0	1	0	0	Bacteria;Proteobacteria;Gammaproteobacteria
AAB-S01R1_209	61.7	0	2150585	63.34	Partial	Bacteria;Eremiobacterota;Eremiobacteria;UBP12;UBA5184;Palsa-1515	1001	9161	1973	1650	2121	1090	17	0	0	0	0	Bacteria;candidate division WPS-2
AAB-S01R1_210	77.36	3.12	3282700	35.07	Medium quality	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Palsa-955	1002	23057	2710	2200	3106	1211	16	0	0	0	0	Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales
AAB-S01R1_212	59.23	1.39	2078169	69.51	Partial	Bacteria;Dormibacterota;Dormibacteria;UBA8260;UBA8260;Palsa-875	1001	15467	2375	1764	2726	875	14	0	0	0	0	Bacteria;candidate division AD3
AAB-S01R1_214	87.96	2.76	4932968	54.76	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;UBA7541;UBA7541;UBA7541	1004	94408	8153	4465	14450	605	13	0	0	0	0	Bacteria;Acidobacteria
AAB-S01R1_217	71.77	4.22	3029837	55.44	Medium quality	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;UBA10450	1502	19985	3801	3123	4169	797	17	0	1	0	0	Bacteria;Verrucomicrobia
